A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,Y
2.01979,115.749,27.4094,72.2314,109.968,0.552424,67.004,72.0583,37.5907,25.4158,28.7564,15.4448,4.35793,5.19067,30.4837,105.393,14.0745,2.40263,0.823275,184.445,170.408,122.228,0.978795,251.155,283.239,32.0842,147.04,121.313,508.55,-0.344467,174.131,185.137,16.5189,28.9775,124.11,176.584,248.209,246.71,22.5522,-0.984147,252.297,24.5893,25.2783,101.63,258.83,545.163,608.605,19.9888,2858.33,6.50637,51.5241,105.907,0.000917,110.006
2.01059,116.027,27.0752,72.243,109.949,0.549144,66.9487,71.9461,37.5907,25.6028,28.8155,15.5277,4.50583,5.20777,30.4916,105.746,13.8905,2.46312,0.862951,184.297,170.407,122.443,0.961707,251.154,283.606,32.4517,147.42,121.707,508.418,-0.344919,174.131,185.025,16.5306,28.9669,125.425,176.647,248.057,246.555,23.7725,-0.981847,252.158,25.2856,25.2756,107.708,258.83,600.466,617.426,19.9699,2855.26,6.30252,51.6628,111.29,0.005499,109.999
2.0133,115.453,27.3449,72.2428,109.967,0.553845,66.9676,72.0579,37.5889,25.6028,28.733,15.453,4.323,5.15623,30.4678,105.309,14.0378,2.38305,0.845241,184.371,170.333,121.684,0.965621,250.746,282.982,32.2733,147.105,120.476,508.461,-0.344934,174.02,185.025,16.5041,28.9966,123.924,176.435,248.187,245.842,22.4678,-0.984154,252.185,25.6375,25.2756,112.81,258.652,554.748,628.827,20.0172,2845.98,6.2271,50.4008,114.657,0,110.006
2.02444,115.603,27.4258,72.2314,109.967,0.550558,67.0317,71.645,37.4785,25.4906,28.8316,15.4704,4.77762,5.21922,30.4842,105.52,13.8106,2.60615,0.888506,184.368,170.557,121.857,0.990043,250.82,283.652,32.8323,147.672,120.263,508.738,-0.344444,174.019,184.913,16.5452,28.9847,125.159,176.603,248.101,245.562,23.1724,-0.982741,251.959,30.3171,25.2756,145.11,258.478,555.905,599.149,19.9981,2819.18,6.0033,50.034,145.841,0,109.959
2.01428,115.846,27.2956,72.2314,109.948,0.551971,67.0036,71.3476,37.3663,25.4925,28.7054,15.5175,4.43628,5.17374,30.4919,105.703,13.8568,2.42477,0.8799,184.189,170.332,123.104,0.947166,250.927,283.541,32.6133,146.257,119.538,509.199,-0.344475,173.907,184.918,16.5311,28.9778,124.651,176.476,248.209,245.037,21.8403,-0.985087,252.016,26.711,25.2728,117.733,258.196,557.526,605.48,19.9884,2823.96,5.81628,50.3387,120.469,0.047086,109.975
1.99758,115.44,27.4096,72.2314,109.967,0.55105,67.0598,71.011,37.2541,25.4158,28.6641,15.5458,4.85461,5.21835,30.4916,105.583,13.8917,2.64935,0.923646,184.411,170.519,121.124,1.02897,250.597,283.838,33.2416,146.937,119.497,508.101,-0.345853,173.823,185.139,16.5034,28.9804,124.135,176.435,248.252,245.214,23.9828,-0.981816,251.849,25.1835,25.2728,106.171,257.959,557.744,619.702,20.0077,2837.56,5.59185,49.1156,110.636,0,110.006
2.00671,115.7,27.2181,72.2314,109.967,0.552408,67.0229,70.9361,37.2528,25.1914,28.9003,15.2575,4.588,5.18714,30.4999,105.355,14.1133,2.52999,0.883659,184.445,170.332,122.874,0.991627,250.669,283.835,33.1293,147.208,118.413,509.239,-0.344483,173.795,185.165,16.533,29.0512,123.625,176.246,247.862,244.298,23.5215,-0.982756,251.877,26.7232,25.2729,121.245,257.983,555.441,605.792,19.998,2826.73,5.51518,47.8803,122.319,0,109.983
2.00492,115.824,27.3498,72.22,110.061,0.55383,67.0037,70.8239,37.1793,25.1914,29.1079,15.3815,4.39692,5.20107,30.4838,105.435,14.1151,2.42138,0.851968,184.484,170.37,121.672,0.987898,250.593,284.021,33.4282,147.399,119.034,508.698,-0.345394,173.824,185.195,16.5884,29.0512,124.51,176.33,247.903,244.346,23.8647,-0.982282,252.017,29.1605,25.2728,139.079,258.2,556.856,615.42,19.9981,2832.03,5.31102,51.3578,138.285,0,109.998
1.99476,115.658,27.157,72.2198,110.06,0.552432,66.9478,70.8239,37.1793,25.1914,29.0092,15.4287,4.43,5.21072,30.4755,105.706,14.1831,2.43,0.880738,184.403,170.22,122.502,0.98097,250.78,283.679,32.8991,147.46,119.453,508.985,-0.344451,173.824,185.077,16.6011,29.0378,124.3,176.435,247.667,244.952,22.8427,-0.983681,252.073,27.3897,25.2728,125.937,258.331,557.292,609.279,19.9983,2864.46,5.18072,45.3165,127.802,0,110.014
2.00207,115.919,27.3658,72.2198,110.06,0.552401,66.9759,70.5995,37.0671,25.1166,29.0224,15.5076,4.45879,5.19743,30.4597,105.58,13.8512,2.43895,0.883768,184.146,170.295,121.875,0.991813,250.668,283.271,32.5659,147.589,119.265,508.836,-0.345401,173.738,184.802,16.5877,29.0378,123.965,176.349,247.58,245.885,23.3594,-0.982756,251.792,29.0229,25.2728,137.2,258.193,559.182,613.164,19.9884,2847.25,5.12431,52.0536,136.767,0,109.991
1.99186,115.785,27.4306,72.2198,109.948,0.546848,66.9194,70.4125,36.9549,25.1166,28.7857,15.5031,4.41742,5.20795,30.4675,105.56,14.2605,2.39954,0.903823,184.442,170.182,122.667,1.01049,250.78,283.126,32.3094,147.607,119.72,509.244,-0.345409,173.738,185.107,16.5328,29.0379,123.945,176.331,247.6,245.691,23.3197,-0.983222,251.737,25.7738,25.2728,112.389,257.981,597.575,659.248,19.9327,2841.05,4.89988,44.3379,113.906,0,110.014
1.99727,115.531,27.2192,72.2198,109.948,0.556649,67.0593,70.3003,36.8427,24.78,28.9418,15.5175,4.72695,5.25308,30.4917,105.208,14.0015,2.61138,0.899256,184.409,170.408,122.353,0.950863,250.932,283.234,32.3026,147.377,119.123,510.174,-0.343548,173.656,185.058,16.6579,28.9697,124.006,176.393,247.536,245.34,22.8209,-0.983681,251.793,26.3804,25.2728,116.896,258.023,557.775,592.249,20.082,2825.21,4.71287,48.6175,119.184,0,109.99
1.97785,116.157,27.5312,72.2198,110.06,0.551042,66.9759,70.2984,36.8427,24.5911,28.7304,15.5351,4.53189,5.23546,30.4679,105.664,13.8924,2.4781,0.912445,184.112,170.22,124.153,0.936415,251.045,283.916,32.8704,147.71,118.386,509.714,-0.344467,173.71,184.834,16.4485,28.9857,125.112,176.432,247.752,245.172,22.2168,-0.98417,251.819,26.378,25.2728,116.588,257.976,558.021,605.414,19.9606,2856.63,4.60066,49.3365,118.178,0,109.968
1.96393,115.864,27.4064,72.2198,109.948,0.550565,67.0134,69.7969,36.6556,24.4807,28.6885,15.4512,4.45771,5.22546,30.4761,105.581,14.2642,2.43208,0.90693,184.447,170.183,121.872,1.01179,251.568,283.762,32.1953,146.766,118.929,509.069,-0.345401,173.571,185.139,16.5595,28.9911,123.109,176.224,247.754,247.039,23.7082,-0.982282,251.737,27.6868,25.2728,126.433,257.848,561.278,688.423,20.0075,2849.87,4.37623,45.1882,127.435,0,109.991
